"grav";"catv";"sexe";"an_nais";"trajet";"voiture";"PL";"moto";"jour";"mois";"lum";"dep";"com";"agg";"casque";"gilet"
4;1;1;1994;0;1;0;0;29;4;1;"75";"75112";2;0;0
4;1;1;1978;5;0;0;1;12;8;1;"69";"69028";2;0;0
4;1;1;1972;1;1;0;0;22;7;1;"49";"49298";2;0;1
3;1;1;2001;1;0;1;0;14;8;1;"14";"14488";2;0;0
4;1;1;1953;0;1;0;0;12;8;1;"973";"97302";2;0;0
4;1;1;1976;5;1;0;0;11;8;1;"972";"97209";2;1;0
4;1;1;1956;0;1;0;0;7;8;1;"84";"84007";2;0;0
4;1;1;1970;0;1;0;0;12;8;1;"69";"69290";2;1;0
4;1;2;1970;0;1;0;0;12;8;1;"59";"59599";2;0;0
4;1;2;1975;5;1;0;0;11;8;1;"56";"56162";2;1;0
4;1;1;1990;0;1;0;0;11;8;1;"51";"51454";2;0;0
4;1;1;1980;0;1;0;0;11;8;3;"29";"29039";2;0;0
4;1;1;1958;0;1;0;0;10;7;1;"93";"93066";2;0;0
4;1;1;2002;0;1;0;0;10;7;1;"92";"92012";2;0;0
4;1;1;1996;1;1;0;0;12;2;3;"49";"49007";2;0;0
4;1;1;1981;5;0;0;0;12;2;3;"75";"75115";2;1;1
4;1;2;2004;2;0;0;0;12;2;1;"75";"75104";2;0;0
4;1;1;2000;5;1;0;0;12;2;1;"92";"92040";2;1;0
4;1;1;1952;0;1;0;0;6;6;1;"971";"97101";1;0;0
3;80;1;1967;5;0;0;0;12;2;1;"11";"11190";2;1;0
4;1;2;1958;5;1;0;0;12;2;1;"68";"68154";2;0;0
3;1;1;1978;1;1;0;0;1;2;3;"59";"59611";1;0;1
4;80;1;1997;9;1;0;0;7;6;3;"67";"67482";2;0;0
3;1;2;1994;0;1;0;0;11;2;3;"69";"69386";2;0;0
2;1;1;1993;0;1;0;0;10;2;3;"59";"59350";2;0;0
4;1;1;2004;5;1;0;0;6;6;2;"51";"51474";2;0;0
4;1;1;1970;5;1;0;0;6;6;1;"50";"50532";2;1;0
4;1;1;1976;1;1;0;0;6;6;1;"50";"50129";2;0;0
4;1;2;1971;1;1;0;0;7;6;1;"45";"45286";2;1;0
4;80;1;2002;0;1;0;0;7;6;1;"38";"38179";2;0;0
4;80;1;2000;2;1;0;0;7;6;1;"35";"35238";2;1;0
4;80;1;2004;5;0;0;0;11;2;3;"75";"75110";2;0;0
3;80;2;1988;9;0;0;0;6;6;3;"33";"33063";2;0;0
4;80;1;2003;5;1;0;0;11;2;3;"75";"75108";2;0;0
3;1;2;1970;1;1;0;0;23;10;1;"53";"53097";2;0;0
4;1;2;1988;1;0;0;0;7;6;1;"75";"75110";2;0;0
4;1;2;1978;3;1;0;0;24;10;1;"89";"89257";2;0;0
3;1;1;1991;1;0;0;0;7;6;1;"75";"75107";2;1;0
4;80;1;1999;9;0;0;0;7;6;3;"75";"75107";2;0;0
4;80;1;1996;9;1;0;0;7;6;1;"94";"94002";2;0;0
3;1;1;2005;5;0;0;0;7;6;2;"93";"93055";2;0;0
4;1;1;1985;3;1;0;0;10;2;2;"59";"59125";2;1;0
4;1;1;1964;0;1;0;0;7;6;1;"92";"92051";2;1;0
3;1;1;2014;5;1;0;0;8;6;1;"47";"47145";2;0;0
3;1;1;1943;5;1;0;0;6;6;1;"33";"33335";1;1;0
4;1;2;1969;0;0;0;0;16;10;1;"69";"69387";2;0;0
4;1;1;1977;1;0;0;0;22;10;3;"87";"87085";2;1;0
3;1;1;1975;0;1;0;0;12;10;2;"83";"83129";2;0;0
4;1;1;2005;0;1;0;0;23;10;3;"76";"76351";2;1;0
4;80;1;1982;9;0;0;0;8;6;3;"65";"65370";1;1;0
3;1;1;1961;5;1;0;0;30;11;1;"2B";"2B242";1;0;0
3;1;1;2007;0;1;0;0;22;10;1;"38";"38185";2;1;0
4;1;2;2000;9;0;0;0;23;10;1;"75";"75112";2;1;0
4;1;2;1968;9;0;0;0;23;10;1;"75";"75112";2;0;0
4;1;1;2004;1;0;0;0;23;10;1;"75";"75103";2;0;0
4;80;2;1976;0;0;0;0;23;10;1;"92";"92040";2;1;0
4;1;1;2020;5;1;0;0;23;10;1;"92";"92002";2;0;0
4;1;1;2008;5;1;0;0;21;10;2;"33";"33015";1;0;0
4;1;1;1935;5;0;0;1;22;3;1;"34";"34003";2;0;0
4;1;1;1991;9;1;0;0;23;3;3;"75";"75115";2;0;0
4;1;1;2004;1;1;0;0;22;3;1;"75";"75114";2;0;0
4;1;2;1996;9;1;0;0;23;3;2;"75";"75107";2;0;0
3;1;1;1943;5;0;0;0;10;7;1;"65";"65126";2;0;0
4;1;1;1999;0;1;0;0;23;3;1;"93";"93063";2;0;0
4;1;1;2011;5;1;0;0;11;7;1;"68";"68338";1;1;0
3;1;1;1982;0;0;0;1;22;3;2;"34";"34270";2;0;0
4;1;1;1971;5;1;0;0;24;3;1;"60";"60253";1;1;1
4;1;1;1964;5;1;0;0;24;3;1;"60";"60253";1;1;1
4;1;1;1992;5;1;0;0;11;7;1;"13";"13059";1;1;0
3;1;1;1967;5;0;0;0;23;3;1;"22";"22282";1;1;0
4;1;2;1994;1;1;0;0;22;3;1;"69";"69387";2;0;0
4;1;1;1983;1;1;0;0;22;3;1;"69";"69149";2;0;0
3;1;1;2003;1;0;0;0;9;7;1;"62";"62128";2;0;0
4;1;1;2001;4;0;0;0;22;3;3;"971";"97107";2;1;0
4;1;2;1985;0;1;0;0;1;7;2;"44";"44109";2;0;0
4;1;1;1975;0;1;0;0;22;3;1;"74";"74010";1;0;0
4;1;1;1984;0;1;0;0;22;3;1;"72";"72181";2;1;0
